report_id,request_id,factory_id,inspector_id,inspection_date,product_line,sku,sample_size,total_defects,critical_defects,major_defects,minor_defects,defect_details,result,remarks
RPT-2026-018,REQ-2026-021,FAC-YKPHX,INS-003,2026-01-14,Aerolight,SKU-AL-500ML,200,4,0,1,3,"[{""type"": ""logo偏位"", ""type_key"": ""logo_misalignment"", ""count"": 1, ""severity"": ""minor""}, {""type"": ""外观划伤"", ""type_key"": ""surface_scratch"", ""count"": 3, ""severity"": ""minor""}]",Pass,
RPT-2026-019,REQ-2026-022,FAC-CAYI-CN,INS-007,2026-01-15,Iceflow,SKU-IF-500ML,200,7,0,2,5,"[{""type"": ""焊接不良"", ""type_key"": ""welding_defect"", ""count"": 5, ""severity"": ""minor""}, {""type"": ""颜色色差"", ""type_key"": ""color_deviation"", ""count"": 1, ""severity"": ""major""}, {""type"": ""外观划伤"", ""type_key"": ""surface_scratch"", ""count"": 1, ""severity"": ""minor""}]",Pass,
RPT-2025-020,REQ-2025-023,FAC-YKPHX,INS-007,2025-11-18,Aerolight,SKU-AL-500ML,125,2,0,0,2,"[{""type"": ""logo偏位"", ""type_key"": ""logo_misalignment"", ""count"": 1, ""severity"": ""minor""}, {""type"": ""真空泄漏"", ""type_key"": ""vacuum_leak"", ""count"": 1, ""severity"": ""major""}]",Pass,
RPT-2025-021,REQ-2025-024,FAC-DLJM,INS-006,2025-12-05,Iceflow,SKU-IF-500ML,125,9,0,2,7,"[{""type"": ""颜色色差"", ""type_key"": ""color_deviation"", ""count"": 5, ""severity"": ""minor""}, {""type"": ""焊接不良"", ""type_key"": ""welding_defect"", ""count"": 1, ""severity"": ""minor""}, {""type"": ""功能异常"", ""type_key"": ""functional_failure"", ""count"": 1, ""severity"": ""major""}, {""type"": ""外观划伤"", ""type_key"": ""surface_scratch"", ""count"": 2, ""severity"": ""minor""}]",Conditional,"Minor cosmetic issues, acceptable with rework"
RPT-2025-022,REQ-2025-025,FAC-FLYCUP,INS-006,2025-12-08,Iceflow,SKU-IF-750ML,125,8,0,2,6,"[{""type"": ""外观划伤"", ""type_key"": ""surface_scratch"", ""count"": 4, ""severity"": ""minor""}, {""type"": ""颜色色差"", ""type_key"": ""color_deviation"", ""count"": 1, ""severity"": ""minor""}, {""type"": ""真空泄漏"", ""type_key"": ""vacuum_leak"", ""count"": 3, ""severity"": ""minor""}]",Conditional,Slight dimension deviation within tolerance
RPT-2025-023,REQ-2025-026,FAC-GINT,INS-002,2025-10-19,Quencher,SKU-QC-600ML,200,0,0,0,0,[],Pass,
RPT-2025-024,REQ-2025-027,FAC-YKPHX,INS-002,2025-11-13,Classic,SKU-CL-750ML,200,6,0,1,5,"[{""type"": ""logo偏位"", ""type_key"": ""logo_misalignment"", ""count"": 1, ""severity"": ""minor""}, {""type"": ""颜色色差"", ""type_key"": ""color_deviation"", ""count"": 5, ""severity"": ""minor""}]",Pass,
RPT-2026-025,REQ-2026-028,FAC-GINT,INS-007,2026-02-27,Adventure,SKU-AD-500ML,125,6,0,2,4,"[{""type"": ""外观划伤"", ""type_key"": ""surface_scratch"", ""count"": 1, ""severity"": ""minor""}, {""type"": ""logo偏位"", ""type_key"": ""logo_misalignment"", ""count"": 1, ""severity"": ""minor""}, {""type"": ""焊接不良"", ""type_key"": ""welding_defect"", ""count"": 2, ""severity"": ""minor""}, {""type"": ""功能异常"", ""type_key"": ""functional_failure"", ""count"": 1, ""severity"": ""critical""}, {""type"": ""尺寸偏差"", ""type_key"": ""dimension_deviation"", ""count"": 1, ""severity"": ""minor""}]",Pass,
RPT-2025-026,REQ-2025-029,FAC-HAERS,INS-007,2025-12-24,Aerolight,SKU-AL-700ML,125,6,0,2,4,"[{""type"": ""logo偏位"", ""type_key"": ""logo_misalignment"", ""count"": 4, ""severity"": ""major""}, {""type"": ""颜色色差"", ""type_key"": ""color_deviation"", ""count"": 1, ""severity"": ""minor""}, {""type"": ""包装破损"", ""type_key"": ""packaging_damage"", ""count"": 1, ""severity"": ""minor""}]",Conditional,"Minor cosmetic issues, acceptable with rework"
RPT-2026-027,REQ-2026-030,FAC-CAYI-VN,INS-004,2026-03-10,Iceflow,SKU-IF-750ML,125,8,0,1,7,"[{""type"": ""焊接不良"", ""type_key"": ""welding_defect"", ""count"": 3, ""severity"": ""major""}, {""type"": ""颜色色差"", ""type_key"": ""color_deviation"", ""count"": 4, ""severity"": ""minor""}, {""type"": ""外观划伤"", ""type_key"": ""surface_scratch"", ""count"": 1, ""severity"": ""minor""}]",Pass,
RPT-2026-028,REQ-2026-031,FAC-LISI,INS-004,2026-01-08,Iceflow,SKU-IF-500ML,125,13,1,4,8,"[{""type"": ""尺寸偏差"", ""type_key"": ""dimension_deviation"", ""count"": 13, ""severity"": ""minor""}]",Fail,"Multiple critical defects, production line review needed"
RPT-2025-029,REQ-2025-032,FAC-DLJM,INS-006,2025-10-30,Quencher,SKU-QC-1.2L,125,11,1,3,7,"[{""type"": ""尺寸偏差"", ""type_key"": ""dimension_deviation"", ""count"": 8, ""severity"": ""minor""}, {""type"": ""焊接不良"", ""type_key"": ""welding_defect"", ""count"": 1, ""severity"": ""minor""}, {""type"": ""真空泄漏"", ""type_key"": ""vacuum_leak"", ""count"": 1, ""severity"": ""critical""}, {""type"": ""外观划伤"", ""type_key"": ""surface_scratch"", ""count"": 1, ""severity"": ""minor""}]",Fail,"Weld seam misalignment, full rework required"
RPT-2025-030,REQ-2025-033,FAC-HAERS,INS-003,2025-12-29,Classic,SKU-CL-350ML,200,1,0,0,1,"[{""type"": ""外观划伤"", ""type_key"": ""surface_scratch"", ""count"": 1, ""severity"": ""minor""}]",Pass,
RPT-2026-031,REQ-2026-034,FAC-CAYI-CN,INS-002,2026-01-18,Iceflow,SKU-IF-1L,125,2,0,0,2,"[{""type"": ""颜色色差"", ""type_key"": ""color_deviation"", ""count"": 1, ""severity"": ""minor""}, {""type"": ""外观划伤"", ""type_key"": ""surface_scratch"", ""count"": 1, ""severity"": ""minor""}]",Pass,
RPT-2026-032,REQ-2026-035,FAC-YKPHX,INS-007,2026-01-22,Classic,SKU-CL-750ML,200,3,0,0,3,"[{""type"": ""颜色色差"", ""type_key"": ""color_deviation"", ""count"": 1, ""severity"": ""minor""}, {""type"": ""焊接不良"", ""type_key"": ""welding_defect"", ""count"": 1, ""severity"": ""major""}, {""type"": ""包装破损"", ""type_key"": ""packaging_damage"", ""count"": 1, ""severity"": ""minor""}]",Pass,
RPT-2026-033,REQ-2026-036,FAC-CAYI-CN,INS-001,2026-02-24,Quencher,SKU-QC-1.2L,125,2,0,0,2,"[{""type"": ""尺寸偏差"", ""type_key"": ""dimension_deviation"", ""count"": 1, ""severity"": ""critical""}, {""type"": ""真空泄漏"", ""type_key"": ""vacuum_leak"", ""count"": 1, ""severity"": ""major""}]",Pass,
RPT-2025-034,REQ-2025-037,FAC-GINT,INS-001,2025-10-29,Aerolight,SKU-AL-700ML,125,0,0,0,0,[],Pass,
RPT-2025-035,REQ-2025-038,FAC-ANSHENG,INS-001,2025-10-09,Aerolight,SKU-AL-500ML,125,12,0,3,9,"[{""type"": ""尺寸偏差"", ""type_key"": ""dimension_deviation"", ""count"": 2, ""severity"": ""minor""}, {""type"": ""功能异常"", ""type_key"": ""functional_failure"", ""count"": 9, ""severity"": ""critical""}, {""type"": ""真空泄漏"", ""type_key"": ""vacuum_leak"", ""count"": 1, ""severity"": ""major""}]",Pass,
RPT-2025-036,REQ-2025-039,FAC-ANSHENG,INS-007,2025-10-11,Iceflow,SKU-IF-750ML,125,9,0,2,7,"[{""type"": ""外观划伤"", ""type_key"": ""surface_scratch"", ""count"": 9, ""severity"": ""minor""}]",Conditional,"Minor packaging damage, needs re-inspection after fix"
RPT-2025-037,REQ-2025-041,FAC-DLJM,INS-006,2025-10-10,Adventure,SKU-AD-750ML,125,14,0,5,9,"[{""type"": ""功能异常"", ""type_key"": ""functional_failure"", ""count"": 6, ""severity"": ""major""}, {""type"": ""包装破损"", ""type_key"": ""packaging_damage"", ""count"": 8, ""severity"": ""minor""}]",Fail,"Multiple critical defects, production line review needed"
RPT-2025-038,REQ-2025-042,FAC-CAYI-VN,INS-004,2025-12-30,Classic,SKU-CL-500ML,200,12,0,4,8,"[{""type"": ""logo偏位"", ""type_key"": ""logo_misalignment"", ""count"": 8, ""severity"": ""major""}, {""type"": ""焊接不良"", ""type_key"": ""welding_defect"", ""count"": 3, ""severity"": ""minor""}, {""type"": ""外观划伤"", ""type_key"": ""surface_scratch"", ""count"": 1, ""severity"": ""minor""}]",Pass,
RPT-2026-039,REQ-2026-043,FAC-GINT,INS-007,2026-01-21,Quencher,SKU-QC-600ML,125,0,0,0,0,[],Pass,
RPT-2025-040,REQ-2025-044,FAC-FLYCUP,INS-006,2025-12-28,Iceflow,SKU-IF-1L,200,25,0,5,20,"[{""type"": ""尺寸偏差"", ""type_key"": ""dimension_deviation"", ""count"": 12, ""severity"": ""major""}, {""type"": ""颜色色差"", ""type_key"": ""color_deviation"", ""count"": 13, ""severity"": ""minor""}]",Pass,
RPT-2026-041,REQ-2026-045,FAC-HAERS,INS-003,2026-01-16,Adventure,SKU-AD-750ML,200,0,0,0,0,[],Pass,
RPT-2025-042,REQ-2025-046,FAC-ANSHENG,INS-002,2025-12-19,Classic,SKU-CL-750ML,200,12,0,4,8,"[{""type"": ""包装破损"", ""type_key"": ""packaging_damage"", ""count"": 3, ""severity"": ""minor""}, {""type"": ""真空泄漏"", ""type_key"": ""vacuum_leak"", ""count"": 2, ""severity"": ""major""}, {""type"": ""外观划伤"", ""type_key"": ""surface_scratch"", ""count"": 7, ""severity"": ""minor""}]",Conditional,"Minor packaging damage, needs re-inspection after fix"
RPT-2026-043,REQ-2026-047,FAC-LISI,INS-004,2026-01-27,Adventure,SKU-AD-750ML,200,15,1,4,10,"[{""type"": ""焊接不良"", ""type_key"": ""welding_defect"", ""count"": 13, ""severity"": ""minor""}, {""type"": ""功能异常"", ""type_key"": ""functional_failure"", ""count"": 2, ""severity"": ""major""}]",Fail,"Logo position out of spec, re-production required"
RPT-2026-044,REQ-2026-048,FAC-CAYI-VN,INS-005,2026-03-23,Quencher,SKU-QC-1.2L,200,1,0,0,1,"[{""type"": ""logo偏位"", ""type_key"": ""logo_misalignment"", ""count"": 1, ""severity"": ""minor""}]",Pass,
RPT-2025-045,REQ-2025-049,FAC-HAERS,INS-003,2025-11-11,Aerolight,SKU-AL-350ML,200,6,0,1,5,"[{""type"": ""颜色色差"", ""type_key"": ""color_deviation"", ""count"": 3, ""severity"": ""minor""}, {""type"": ""外观划伤"", ""type_key"": ""surface_scratch"", ""count"": 3, ""severity"": ""minor""}]",Pass,
RPT-2026-046,REQ-2026-050,FAC-FLYCUP,INS-006,2026-01-09,Classic,SKU-CL-350ML,200,11,0,2,9,"[{""type"": ""焊接不良"", ""type_key"": ""welding_defect"", ""count"": 10, ""severity"": ""minor""}, {""type"": ""包装破损"", ""type_key"": ""packaging_damage"", ""count"": 1, ""severity"": ""minor""}]",Conditional,"Minor cosmetic issues, acceptable with rework"
RPT-2026-047,REQ-2026-051,FAC-FLYCUP,INS-006,2026-02-12,Aerolight,SKU-AL-350ML,125,6,0,1,5,"[{""type"": ""尺寸偏差"", ""type_key"": ""dimension_deviation"", ""count"": 4, ""severity"": ""minor""}, {""type"": ""焊接不良"", ""type_key"": ""welding_defect"", ""count"": 2, ""severity"": ""major""}]",Conditional,Slight dimension deviation within tolerance
RPT-2026-048,REQ-2026-052,FAC-YKPHX,INS-002,2026-03-05,Classic,SKU-CL-750ML,200,1,0,0,1,"[{""type"": ""外观划伤"", ""type_key"": ""surface_scratch"", ""count"": 1, ""severity"": ""major""}]",Pass,
RPT-2026-049,REQ-2026-053,FAC-DLJM,INS-006,2026-02-02,Adventure,SKU-AD-500ML,200,16,0,4,12,"[{""type"": ""尺寸偏差"", ""type_key"": ""dimension_deviation"", ""count"": 8, ""severity"": ""minor""}, {""type"": ""外观划伤"", ""type_key"": ""surface_scratch"", ""count"": 8, ""severity"": ""minor""}]",Fail,"Weld seam misalignment, full rework required"
RPT-2025-050,REQ-2025-054,FAC-GINT,INS-003,2025-10-21,Quencher,SKU-QC-900ML,125,0,0,0,0,[],Pass,
RPT-2026-051,REQ-2026-055,FAC-ANSHENG,INS-003,2026-01-12,Aerolight,SKU-AL-350ML,200,19,0,5,14,"[{""type"": ""焊接不良"", ""type_key"": ""welding_defect"", ""count"": 16, ""severity"": ""minor""}, {""type"": ""真空泄漏"", ""type_key"": ""vacuum_leak"", ""count"": 3, ""severity"": ""critical""}]",Pass,
RPT-2025-052,REQ-2025-056,FAC-YKPHX,INS-007,2025-11-27,Adventure,SKU-AD-500ML,200,3,0,0,3,"[{""type"": ""logo偏位"", ""type_key"": ""logo_misalignment"", ""count"": 3, ""severity"": ""minor""}]",Pass,
RPT-2025-053,REQ-2025-057,FAC-FLYCUP,INS-006,2025-12-31,Adventure,SKU-AD-500ML,200,6,1,1,4,"[{""type"": ""logo偏位"", ""type_key"": ""logo_misalignment"", ""count"": 5, ""severity"": ""minor""}, {""type"": ""外观划伤"", ""type_key"": ""surface_scratch"", ""count"": 1, ""severity"": ""minor""}]",Fail,"Logo position out of spec, re-production required"
RPT-2026-054,REQ-2026-058,FAC-DLJM,INS-006,2026-02-07,Classic,SKU-CL-350ML,200,22,1,6,15,"[{""type"": ""焊接不良"", ""type_key"": ""welding_defect"", ""count"": 1, ""severity"": ""minor""}, {""type"": ""功能异常"", ""type_key"": ""functional_failure"", ""count"": 14, ""severity"": ""critical""}, {""type"": ""真空泄漏"", ""type_key"": ""vacuum_leak"", ""count"": 7, ""severity"": ""major""}]",Fail,"Logo position out of spec, re-production required"
RPT-2026-055,REQ-2026-059,FAC-ANSHENG,INS-003,2026-03-11,Adventure,SKU-AD-500ML,125,4,1,0,3,"[{""type"": ""焊接不良"", ""type_key"": ""welding_defect"", ""count"": 2, ""severity"": ""minor""}, {""type"": ""功能异常"", ""type_key"": ""functional_failure"", ""count"": 1, ""severity"": ""major""}, {""type"": ""外观划伤"", ""type_key"": ""surface_scratch"", ""count"": 1, ""severity"": ""minor""}]",Fail,"Multiple critical defects, production line review needed"
RPT-2025-056,REQ-2025-060,FAC-FLYCUP,INS-006,2025-11-18,Aerolight,SKU-AL-500ML,200,10,1,3,6,"[{""type"": ""logo偏位"", ""type_key"": ""logo_misalignment"", ""count"": 9, ""severity"": ""minor""}, {""type"": ""颜色色差"", ""type_key"": ""color_deviation"", ""count"": 1, ""severity"": ""minor""}]",Fail,"Multiple critical defects, production line review needed"
RPT-2025-057,REQ-2025-061,FAC-FLYCUP,INS-006,2025-12-09,Quencher,SKU-QC-900ML,125,5,1,1,3,"[{""type"": ""颜色色差"", ""type_key"": ""color_deviation"", ""count"": 3, ""severity"": ""minor""}, {""type"": ""外观划伤"", ""type_key"": ""surface_scratch"", ""count"": 2, ""severity"": ""minor""}]",Fail,"Logo position out of spec, re-production required"
RPT-2025-058,REQ-2025-062,FAC-CAYI-VN,INS-005,2025-12-05,Iceflow,SKU-IF-500ML,200,3,0,0,3,"[{""type"": ""logo偏位"", ""type_key"": ""logo_misalignment"", ""count"": 1, ""severity"": ""major""}, {""type"": ""焊接不良"", ""type_key"": ""welding_defect"", ""count"": 1, ""severity"": ""minor""}, {""type"": ""真空泄漏"", ""type_key"": ""vacuum_leak"", ""count"": 1, ""severity"": ""critical""}]",Pass,
RPT-2026-059,REQ-2026-063,FAC-CAYI-VN,INS-005,2026-01-29,Classic,SKU-CL-350ML,200,6,1,1,4,"[{""type"": ""尺寸偏差"", ""type_key"": ""dimension_deviation"", ""count"": 4, ""severity"": ""minor""}, {""type"": ""包装破损"", ""type_key"": ""packaging_damage"", ""count"": 2, ""severity"": ""minor""}]",Fail,"Multiple critical defects, production line review needed"
RPT-2026-060,REQ-2026-064,FAC-ANSHENG,INS-002,2026-02-27,Quencher,SKU-QC-600ML,200,10,1,1,8,"[{""type"": ""logo偏位"", ""type_key"": ""logo_misalignment"", ""count"": 3, ""severity"": ""minor""}, {""type"": ""功能异常"", ""type_key"": ""functional_failure"", ""count"": 2, ""severity"": ""minor""}, {""type"": ""真空泄漏"", ""type_key"": ""vacuum_leak"", ""count"": 5, ""severity"": ""critical""}]",Fail,"Logo position out of spec, re-production required"
RPT-2026-061,REQ-2026-065,FAC-GINT,INS-003,2026-03-29,Iceflow,SKU-IF-1L,200,3,0,0,3,"[{""type"": ""logo偏位"", ""type_key"": ""logo_misalignment"", ""count"": 1, ""severity"": ""minor""}, {""type"": ""功能异常"", ""type_key"": ""functional_failure"", ""count"": 1, ""severity"": ""minor""}, {""type"": ""外观划伤"", ""type_key"": ""surface_scratch"", ""count"": 1, ""severity"": ""minor""}]",Pass,
RPT-2026-062,REQ-2026-066,FAC-CAYI-CN,INS-007,2026-01-20,Quencher,SKU-QC-1.2L,200,4,0,1,3,"[{""type"": ""焊接不良"", ""type_key"": ""welding_defect"", ""count"": 3, ""severity"": ""minor""}, {""type"": ""外观划伤"", ""type_key"": ""surface_scratch"", ""count"": 1, ""severity"": ""minor""}]",Pass,
RPT-2026-063,REQ-2026-067,FAC-YKPHX,INS-001,2026-01-06,Iceflow,SKU-IF-750ML,200,4,0,1,3,"[{""type"": ""外观划伤"", ""type_key"": ""surface_scratch"", ""count"": 4, ""severity"": ""minor""}]",Pass,
RPT-2026-064,REQ-2026-068,FAC-DLJM,INS-006,2026-02-18,Quencher,SKU-QC-1.2L,125,13,1,4,8,"[{""type"": ""尺寸偏差"", ""type_key"": ""dimension_deviation"", ""count"": 3, ""severity"": ""major""}, {""type"": ""真空泄漏"", ""type_key"": ""vacuum_leak"", ""count"": 10, ""severity"": ""major""}]",Fail,"Multiple critical defects, production line review needed"
RPT-2026-065,REQ-2026-069,FAC-GINT,INS-002,2026-01-27,Iceflow,SKU-IF-750ML,125,0,0,0,0,[],Pass,
RPT-2026-066,REQ-2026-070,FAC-YKPHX,INS-001,2026-02-06,Quencher,SKU-QC-600ML,200,8,0,2,6,"[{""type"": ""颜色色差"", ""type_key"": ""color_deviation"", ""count"": 5, ""severity"": ""minor""}, {""type"": ""包装破损"", ""type_key"": ""packaging_damage"", ""count"": 3, ""severity"": ""major""}]",Pass,
RPT-2025-067,REQ-2025-071,FAC-CAYI-CN,INS-002,2025-10-27,Classic,SKU-CL-350ML,200,10,0,2,8,"[{""type"": ""logo偏位"", ""type_key"": ""logo_misalignment"", ""count"": 4, ""severity"": ""minor""}, {""type"": ""焊接不良"", ""type_key"": ""welding_defect"", ""count"": 4, ""severity"": ""major""}, {""type"": ""外观划伤"", ""type_key"": ""surface_scratch"", ""count"": 2, ""severity"": ""minor""}]",Pass,
RPT-2025-068,REQ-2025-072,FAC-YKPHX,INS-007,2025-10-29,Adventure,SKU-AD-500ML,200,11,0,3,8,"[{""type"": ""尺寸偏差"", ""type_key"": ""dimension_deviation"", ""count"": 2, ""severity"": ""critical""}, {""type"": ""颜色色差"", ""type_key"": ""color_deviation"", ""count"": 6, ""severity"": ""minor""}, {""type"": ""包装破损"", ""type_key"": ""packaging_damage"", ""count"": 3, ""severity"": ""minor""}]",Pass,
RPT-2026-069,REQ-2026-073,FAC-DLJM,INS-006,2026-01-18,Classic,SKU-CL-500ML,125,10,0,3,7,"[{""type"": ""尺寸偏差"", ""type_key"": ""dimension_deviation"", ""count"": 2, ""severity"": ""minor""}, {""type"": ""功能异常"", ""type_key"": ""functional_failure"", ""count"": 8, ""severity"": ""major""}]",Conditional,"Minor packaging damage, needs re-inspection after fix"
RPT-2025-070,REQ-2025-074,FAC-GINT,INS-003,2025-11-20,Iceflow,SKU-IF-1L,125,3,0,0,3,"[{""type"": ""功能异常"", ""type_key"": ""functional_failure"", ""count"": 1, ""severity"": ""major""}, {""type"": ""颜色色差"", ""type_key"": ""color_deviation"", ""count"": 1, ""severity"": ""minor""}, {""type"": ""包装破损"", ""type_key"": ""packaging_damage"", ""count"": 1, ""severity"": ""minor""}]",Pass,
RPT-2026-071,REQ-2026-075,FAC-GINT,INS-001,2026-03-02,Adventure,SKU-AD-750ML,125,0,0,0,0,[],Pass,
RPT-2025-072,REQ-2025-076,FAC-GINT,INS-007,2025-12-21,Quencher,SKU-QC-600ML,200,12,0,4,8,"[{""type"": ""焊接不良"", ""type_key"": ""welding_defect"", ""count"": 10, ""severity"": ""minor""}, {""type"": ""外观划伤"", ""type_key"": ""surface_scratch"", ""count"": 2, ""severity"": ""minor""}]",Pass,
