request_id,factory_id,factory_name,product_line,sku,order_id,order_qty,customer_level,requested_date,shipment_deadline,priority,status,region
REQ-2025-026,FAC-GINT,GINT,Quencher,SKU-QC-600ML,PO-2025-1821,20000,B,2025-10-15,2025-10-31,High,Completed,China
REQ-2025-027,FAC-YKPHX,YKPHX,Classic,SKU-CL-750ML,PO-2025-2113,30000,C,2025-11-10,2025-11-17,High,Completed,China
REQ-2026-028,FAC-GINT,GINT,Adventure,SKU-AD-500ML,PO-2026-9565,10000,B,2026-02-23,2026-03-05,High,Scheduled,China
REQ-2025-029,FAC-HAERS,HAERS,Aerolight,SKU-AL-700ML,PO-2025-8491,10000,A,2025-12-20,2025-12-30,High,Completed,China
REQ-2026-030,FAC-CAYI-VN,CAYI Vietnam,Iceflow,SKU-IF-750ML,PO-2026-5345,8000,C,2026-03-09,2026-03-25,High,Scheduled,Vietnam
REQ-2026-031,FAC-LISI,LISI,Iceflow,SKU-IF-500ML,PO-2026-9666,5000,A,2026-01-03,2026-01-14,Medium,Completed,Vietnam
REQ-2025-032,FAC-DLJM,DLJM,Quencher,SKU-QC-1.2L,PO-2025-3546,10000,A,2025-10-27,2025-11-17,High,Completed,India
REQ-2025-033,FAC-HAERS,HAERS,Classic,SKU-CL-350ML,PO-2025-5114,50000,B,2025-12-27,2026-01-06,Medium,Completed,China
REQ-2026-034,FAC-CAYI-CN,CAYI China,Iceflow,SKU-IF-1L,PO-2026-5291,8000,A,2026-01-17,2026-02-06,High,Completed,China
REQ-2026-035,FAC-YKPHX,YKPHX,Classic,SKU-CL-750ML,PO-2026-3442,20000,A,2026-01-18,2026-02-02,High,Completed,China
REQ-2026-036,FAC-CAYI-CN,CAYI China,Quencher,SKU-QC-1.2L,PO-2026-1653,10000,B,2026-02-19,2026-02-28,High,Completed,China
REQ-2025-037,FAC-GINT,GINT,Aerolight,SKU-AL-700ML,PO-2025-3532,8000,C,2025-10-27,2025-11-08,Low,Completed,China
REQ-2025-038,FAC-ANSHENG,ANSHENG,Aerolight,SKU-AL-500ML,PO-2025-5065,10000,B,2025-10-07,2025-10-16,High,Completed,China
REQ-2025-039,FAC-ANSHENG,ANSHENG,Iceflow,SKU-IF-750ML,PO-2025-6728,10000,B,2025-10-10,2025-10-30,High,Completed,China
REQ-2026-040,FAC-GINT,GINT,Aerolight,SKU-AL-350ML,PO-2026-5573,10000,B,2026-03-18,2026-03-28,High,Pending,China
REQ-2025-041,FAC-DLJM,DLJM,Adventure,SKU-AD-750ML,PO-2025-5349,5000,C,2025-10-08,2025-10-16,High,Completed,India
REQ-2025-042,FAC-CAYI-VN,CAYI Vietnam,Classic,SKU-CL-500ML,PO-2025-2894,15000,C,2025-12-28,2026-01-15,Low,Completed,Vietnam
REQ-2026-043,FAC-GINT,GINT,Quencher,SKU-QC-600ML,PO-2026-4228,10000,B,2026-01-20,2026-01-27,Medium,Completed,China
REQ-2025-044,FAC-FLYCUP,FlyCup,Iceflow,SKU-IF-1L,PO-2025-5920,20000,B,2025-12-24,2026-01-09,Low,Completed,India
REQ-2026-045,FAC-HAERS,HAERS,Adventure,SKU-AD-750ML,PO-2026-7211,30000,A,2026-01-12,2026-01-30,High,Completed,China
REQ-2025-046,FAC-ANSHENG,ANSHENG,Classic,SKU-CL-750ML,PO-2025-8043,50000,B,2025-12-17,2025-12-30,High,Completed,China
REQ-2026-047,FAC-LISI,LISI,Adventure,SKU-AD-750ML,PO-2026-3780,30000,A,2026-01-22,2026-02-08,High,Completed,Vietnam
REQ-2026-048,FAC-CAYI-VN,CAYI Vietnam,Quencher,SKU-QC-1.2L,PO-2026-4848,30000,B,2026-03-19,2026-04-05,High,Scheduled,Vietnam
REQ-2025-049,FAC-HAERS,HAERS,Aerolight,SKU-AL-350ML,PO-2025-2193,15000,A,2025-11-07,2025-11-14,Low,Completed,China
REQ-2026-050,FAC-FLYCUP,FlyCup,Classic,SKU-CL-350ML,PO-2026-2746,50000,B,2026-01-07,2026-01-21,High,Completed,India
REQ-2026-051,FAC-FLYCUP,FlyCup,Aerolight,SKU-AL-350ML,PO-2026-8478,8000,A,2026-02-10,2026-02-24,High,Completed,India
REQ-2026-052,FAC-YKPHX,YKPHX,Classic,SKU-CL-750ML,PO-2026-9270,15000,C,2026-03-02,2026-03-14,Low,Completed,China
REQ-2026-053,FAC-DLJM,DLJM,Adventure,SKU-AD-500ML,PO-2026-9540,15000,A,2026-01-30,2026-02-13,High,Completed,India
REQ-2025-054,FAC-GINT,GINT,Quencher,SKU-QC-900ML,PO-2025-9849,5000,A,2025-10-20,2025-11-07,High,Completed,China
REQ-2026-055,FAC-ANSHENG,ANSHENG,Aerolight,SKU-AL-350ML,PO-2026-6421,20000,A,2026-01-07,2026-01-25,High,Completed,China
REQ-2025-056,FAC-YKPHX,YKPHX,Adventure,SKU-AD-500ML,PO-2025-1320,50000,B,2025-11-22,2025-12-12,Low,Completed,China
REQ-2025-057,FAC-FLYCUP,FlyCup,Adventure,SKU-AD-500ML,PO-2025-7865,20000,C,2025-12-30,2026-01-10,Low,Completed,India
REQ-2026-058,FAC-DLJM,DLJM,Classic,SKU-CL-350ML,PO-2026-7624,30000,A,2026-02-02,2026-02-12,High,Completed,India
REQ-2026-059,FAC-ANSHENG,ANSHENG,Adventure,SKU-AD-500ML,PO-2026-1444,5000,A,2026-03-09,2026-03-24,High,Completed,China
REQ-2025-060,FAC-FLYCUP,FlyCup,Aerolight,SKU-AL-500ML,PO-2025-6529,50000,A,2025-11-16,2025-11-23,High,Completed,India
REQ-2025-061,FAC-FLYCUP,FlyCup,Quencher,SKU-QC-900ML,PO-2025-6733,8000,A,2025-12-04,2025-12-24,High,Completed,India
REQ-2025-062,FAC-CAYI-VN,CAYI Vietnam,Iceflow,SKU-IF-500ML,PO-2025-8758,30000,C,2025-12-03,2025-12-13,Medium,Completed,Vietnam
REQ-2026-063,FAC-CAYI-VN,CAYI Vietnam,Classic,SKU-CL-350ML,PO-2026-2876,50000,A,2026-01-28,2026-02-15,High,Completed,Vietnam
REQ-2026-064,FAC-ANSHENG,ANSHENG,Quencher,SKU-QC-600ML,PO-2026-7149,15000,C,2026-02-26,2026-03-05,High,Completed,China
REQ-2026-065,FAC-GINT,GINT,Iceflow,SKU-IF-1L,PO-2026-2983,50000,B,2026-03-26,2026-04-15,High,Scheduled,China
REQ-2026-066,FAC-CAYI-CN,CAYI China,Quencher,SKU-QC-1.2L,PO-2026-7882,50000,B,2026-01-18,2026-02-04,Medium,Completed,China
REQ-2026-067,FAC-YKPHX,YKPHX,Iceflow,SKU-IF-750ML,PO-2026-3885,30000,C,2026-01-01,2026-01-18,Low,Completed,China
REQ-2026-068,FAC-DLJM,DLJM,Quencher,SKU-QC-1.2L,PO-2026-5397,10000,B,2026-02-15,2026-03-06,Medium,Completed,India
REQ-2026-069,FAC-GINT,GINT,Iceflow,SKU-IF-750ML,PO-2026-6511,5000,C,2026-01-24,2026-02-03,High,Completed,China
REQ-2026-070,FAC-YKPHX,YKPHX,Quencher,SKU-QC-600ML,PO-2026-5526,20000,B,2026-02-02,2026-02-12,High,Completed,China
REQ-2025-071,FAC-CAYI-CN,CAYI China,Classic,SKU-CL-350ML,PO-2025-8800,30000,B,2025-10-22,2025-11-01,High,Completed,China
REQ-2025-072,FAC-YKPHX,YKPHX,Adventure,SKU-AD-500ML,PO-2025-7046,15000,A,2025-10-24,2025-11-04,Medium,Completed,China
REQ-2026-073,FAC-DLJM,DLJM,Classic,SKU-CL-500ML,PO-2026-6023,10000,B,2026-01-17,2026-02-04,Medium,Completed,India
REQ-2025-074,FAC-GINT,GINT,Iceflow,SKU-IF-1L,PO-2025-4033,8000,A,2025-11-19,2025-12-01,High,Completed,China
REQ-2026-075,FAC-GINT,GINT,Adventure,SKU-AD-750ML,PO-2026-4180,10000,B,2026-02-28,2026-03-19,Medium,Scheduled,China
REQ-2025-076,FAC-GINT,GINT,Quencher,SKU-QC-600ML,PO-2025-1893,20000,B,2025-12-17,2025-12-24,High,Scheduled,China
REQ-2026-077,FAC-HAERS,HAERS,Aerolight,SKU-AL-700ML,PO-2026-8216,10000,C,2026-02-03,2026-02-11,High,Completed,China
REQ-2026-078,FAC-ANSHENG,ANSHENG,Iceflow,SKU-IF-750ML,PO-2026-1878,8000,C,2026-01-31,2026-02-08,High,Scheduled,China
REQ-2025-079,FAC-ANSHENG,ANSHENG,Classic,SKU-CL-500ML,PO-2025-4697,50000,A,2025-10-22,2025-11-01,Medium,Completed,China
REQ-2026-080,FAC-DLJM,DLJM,Adventure,SKU-AD-750ML,PO-2026-1986,20000,C,2026-01-22,2026-02-02,Low,Completed,India
REQ-2025-081,FAC-CAYI-VN,CAYI Vietnam,Aerolight,SKU-AL-700ML,PO-2025-2229,8000,B,2025-11-24,2025-12-05,High,Completed,Vietnam
REQ-2026-082,FAC-CAYI-CN,CAYI China,Adventure,SKU-AD-750ML,PO-2026-5632,30000,B,2026-03-26,2026-04-11,High,Pending,China
REQ-2025-083,FAC-YKPHX,YKPHX,Iceflow,SKU-IF-1L,PO-2025-4241,15000,A,2025-11-29,2025-12-20,Medium,Completed,China
REQ-2026-084,FAC-CAYI-VN,CAYI Vietnam,Classic,SKU-CL-350ML,PO-2026-3718,50000,C,2026-03-15,2026-03-24,Medium,Pending,Vietnam
REQ-2026-085,FAC-HAERS,HAERS,Classic,SKU-CL-750ML,PO-2026-7594,10000,A,2026-02-23,2026-03-16,High,Completed,China
REQ-2026-086,FAC-DLJM,DLJM,Classic,SKU-CL-500ML,PO-2026-5102,5000,B,2026-01-21,2026-01-29,Medium,Completed,India
REQ-2026-087,FAC-CAYI-VN,CAYI Vietnam,Aerolight,SKU-AL-700ML,PO-2026-5415,20000,C,2026-02-25,2026-03-13,Low,Completed,Vietnam
REQ-2026-088,FAC-CAYI-CN,CAYI China,Aerolight,SKU-AL-500ML,PO-2026-8141,30000,B,2026-02-10,2026-02-27,Medium,Completed,China
REQ-2025-089,FAC-YKPHX,YKPHX,Iceflow,SKU-IF-750ML,PO-2025-6403,15000,B,2025-12-29,2026-01-11,Medium,Completed,China
REQ-2026-090,FAC-YKPHX,YKPHX,Quencher,SKU-QC-1.2L,PO-2026-5135,10000,C,2026-01-11,2026-01-31,High,Scheduled,China
REQ-2026-091,FAC-CAYI-VN,CAYI Vietnam,Adventure,SKU-AD-500ML,PO-2026-6927,20000,B,2026-03-18,2026-04-07,Medium,Pending,Vietnam
REQ-2025-092,FAC-YKPHX,YKPHX,Adventure,SKU-AD-500ML,PO-2025-8941,5000,B,2025-11-22,2025-12-03,Low,Completed,China
REQ-2025-093,FAC-CAYI-CN,CAYI China,Classic,SKU-CL-350ML,PO-2025-2858,15000,B,2025-11-10,2025-11-21,Medium,Scheduled,China
REQ-2025-094,FAC-CAYI-VN,CAYI Vietnam,Aerolight,SKU-AL-500ML,PO-2025-8736,8000,B,2025-12-14,2025-12-29,Medium,Completed,Vietnam
REQ-2026-095,FAC-YKPHX,YKPHX,Classic,SKU-CL-350ML,PO-2026-2143,10000,C,2026-01-07,2026-01-17,High,Completed,China
REQ-2025-096,FAC-FLYCUP,FlyCup,Quencher,SKU-QC-1.2L,PO-2025-9022,50000,A,2025-12-08,2025-12-28,Medium,Completed,India
REQ-2025-097,FAC-ANSHENG,ANSHENG,Adventure,SKU-AD-750ML,PO-2025-6272,50000,B,2025-12-28,2026-01-09,Medium,Completed,China
REQ-2026-098,FAC-GINT,GINT,Aerolight,SKU-AL-700ML,PO-2026-8749,30000,C,2026-01-07,2026-01-17,High,Completed,China
REQ-2026-099,FAC-FLYCUP,FlyCup,Adventure,SKU-AD-500ML,PO-2026-2644,50000,A,2026-02-04,2026-02-11,Low,Completed,India
REQ-2026-100,FAC-YKPHX,YKPHX,Iceflow,SKU-IF-1L,PO-2026-3529,5000,B,2026-01-25,2026-02-01,High,Completed,China
REQ-2026-101,FAC-YKPHX,YKPHX,Quencher,SKU-QC-900ML,PO-2026-9742,15000,B,2026-03-09,2026-03-27,High,Scheduled,China
REQ-2026-102,FAC-LISI,LISI,Adventure,SKU-AD-500ML,PO-2026-4727,30000,A,2026-03-08,2026-03-16,Medium,Scheduled,Vietnam
REQ-2026-103,FAC-CAYI-VN,CAYI Vietnam,Adventure,SKU-AD-500ML,PO-2026-1474,5000,C,2026-03-12,2026-03-30,Low,Completed,Vietnam
REQ-2025-104,FAC-LISI,LISI,Iceflow,SKU-IF-750ML,PO-2025-3950,8000,B,2025-12-31,2026-01-12,Medium,Completed,Vietnam
REQ-2026-105,FAC-ANSHENG,ANSHENG,Iceflow,SKU-IF-1L,PO-2026-4804,15000,B,2026-01-06,2026-01-22,Medium,Completed,China
REQ-2026-106,FAC-HAERS,HAERS,Adventure,SKU-AD-750ML,PO-2026-9955,8000,C,2026-03-20,2026-03-27,High,Pending,China
REQ-2026-107,FAC-CAYI-VN,CAYI Vietnam,Adventure,SKU-AD-750ML,PO-2026-5949,8000,B,2026-02-28,2026-03-11,Medium,Scheduled,Vietnam
REQ-2025-108,FAC-FLYCUP,FlyCup,Adventure,SKU-AD-500ML,PO-2025-5837,5000,B,2025-11-30,2025-12-13,Medium,Completed,India
REQ-2026-109,FAC-FLYCUP,FlyCup,Quencher,SKU-QC-600ML,PO-2026-9138,50000,B,2026-02-22,2026-03-14,Low,Scheduled,India
REQ-2025-110,FAC-HAERS,HAERS,Aerolight,SKU-AL-700ML,PO-2025-3240,30000,B,2025-12-30,2026-01-09,Medium,Completed,China
REQ-2026-111,FAC-CAYI-VN,CAYI Vietnam,Iceflow,SKU-IF-750ML,PO-2026-5835,10000,B,2026-01-21,2026-01-28,Medium,Scheduled,Vietnam
REQ-2025-112,FAC-FLYCUP,FlyCup,Aerolight,SKU-AL-350ML,PO-2025-5465,50000,B,2025-11-03,2025-11-22,Low,Completed,India
REQ-2025-113,FAC-ANSHENG,ANSHENG,Quencher,SKU-QC-900ML,PO-2025-2233,8000,C,2025-12-15,2026-01-02,Low,Completed,China
REQ-2025-114,FAC-GINT,GINT,Adventure,SKU-AD-750ML,PO-2025-7038,30000,B,2025-10-24,2025-11-12,Medium,Completed,China
REQ-2026-115,FAC-HAERS,HAERS,Classic,SKU-CL-500ML,PO-2026-6374,20000,A,2026-03-13,2026-03-25,High,Pending,China
REQ-2026-116,FAC-GINT,GINT,Iceflow,SKU-IF-1L,PO-2026-1742,5000,B,2026-01-27,2026-02-17,Medium,Completed,China
REQ-2025-117,FAC-HAERS,HAERS,Adventure,SKU-AD-500ML,PO-2025-9850,15000,C,2025-10-25,2025-11-04,High,Completed,China
REQ-2026-118,FAC-ANSHENG,ANSHENG,Adventure,SKU-AD-500ML,PO-2026-7070,8000,B,2026-02-03,2026-02-19,Low,Scheduled,China
REQ-2026-119,FAC-YKPHX,YKPHX,Adventure,SKU-AD-500ML,PO-2026-6876,5000,C,2026-01-01,2026-01-09,High,Completed,China
REQ-2025-120,FAC-FLYCUP,FlyCup,Quencher,SKU-QC-600ML,PO-2025-1349,5000,C,2025-11-01,2025-11-21,High,Completed,India
